System Name,Current Advisory,Advisory Start Date,Reason(s) for Advisory,Population served,Phone Number,Website
Kinakin Strata Water System,No Water Advisory,N/A,,80,(250) 352-6801,N/A
Kline's Mobile Home Park Water System,Boil Water Notice,4/1/1992,Source water quality deterioration or contamination; Untreated drinking water at risk of containing pathogens,100,(250) 352-7238,N/A
Knutsford Knoll Modular Home Park Water System,No Water Advisory,N/A,,84,(250) 371-7480,N/A
Knutsford RV Park Water System,No Water Advisory,N/A,,160,(250) 372-5380,N/A
Kokanee Glacier Resort Water System,Water Quality Advisory,1/3/2018,Unacceptable water quality results (microbiological),150,(250) 825-9421,N/A
Kokanee Park Marina Water System,No Water Advisory,N/A,,20,(250) 825-9235,N/A
Kootenay Cider Works,No Water Advisory,N/A,,10,(250) 882-1061,N/A
Kootenay Lake Village Water System,Boil Water Notice,6/5/2023,Untreated drinking water at risk of containing pathogens,60,(514) 808-5599,N/A
Kozy's Custom Cutting Water System,No Water Advisory,N/A,,50,(250) 359-6706,N/A
Krestova Improvement District,Boil Water Notice,1/1/1992,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; positive E. Coli lab result; Source water quality deterioration or contamination; inadequate protection of reservoir,300,(250) 359-7248,N/A
LRB & MJ Holdings Inc Water System,No Water Advisory,N/A,,10,(509) 381-9408,N/A
La Casa On The Lake Water System,Water Quality Advisory,5/7/2023,Excessive turbidity compromising treatment and water quality,1200,(250) 868-3383,https://lacasacottageresort.com/
La Punta Norte Guest Inn,No Water Advisory,N/A,,20,(250) 494-4456,N/A
Lac Le Jeune Provincial Park Water System,Boil Water Notice,6/2/2022,Unacceptable water quality results (microbiological),432,(250) 374-7999,N/A
Lac Le Jeune Resort WS,No Water Advisory,N/A,,200,(250) 372-2722,N/A
Laird Water District,No Water Advisory,N/A,,350,(250) 546-1854,N/A
Lake Front RV Park W/S,No Water Advisory,N/A,,0,(250) 864-8989,N/A
Lake Mara Properties Water System,No Water Advisory,N/A,,175,(250) 836-4836,N/A
Lake Okanagan Resort Water System,No Water Advisory,N/A,,1000,(250) 769-3511,N/A
Lake Pine Water System,No Water Advisory,N/A,,173,(250) 766-5650,www.lakecountry.bc.ca/en/living-in-our-community/utilities.aspx
Lakeshore Place Mobile Home Park WS,Water Quality Advisory,7/14/2020,Untreated drinking water at risk of containing pathogens; Inadequate operations and maintenance,90,(250) 354-9604,N/A
Lakeview Heights Water Users Society,No Water Advisory,N/A,,100,(250) 295-7056,N/A
Lansdowne Local Service Area,No Water Advisory,N/A,,280,(250) 546-3013,N/A
Larch Hills Nordic Society Water System,No Water Advisory,N/A,,300,(250) 253-1089,N/A
Larch Hills Winery Water System,No Water Advisory,N/A,,50,(250) 832-0155,N/A
Larkin Local Service Area,No Water Advisory,N/A,,470,(250) 546-3013,N/A
Larnder Farms WS,No Water Advisory,N/A,,15,(250) 573-5217,N/A
Leecrest Improvement District,Boil Water Notice,2/14/2023,Untreated drinking water at risk of containing pathogens,100,(250) 825-9266,N/A
Legendary Meats Water System,No Water Advisory,N/A,,300,(250) 505-8094,N/A
Lemon Creek Lodge Campground Water System,No Water Advisory,N/A,,50,(250) 355-2403,N/A
Lentelus Farms Water System,No Water Advisory,N/A,,13,(778) 581-8561,N/A
Lion's Head Meadery,No Water Advisory,N/A,,null,(250) 320-6540,N/A
Little Acre Fruit Stand Water System,No Water Advisory,N/A,,50,(250) 494-1473,N/A
Little Beaver Creek Ranch Water System,Boil Water Notice,8/20/2004,Untreated drinking water at risk of containing pathogens,24,(250) 350-3461,https://littlebeavercreekranch.com/
Log Barn 1912 Enterprises Corp WS,Boil Water Notice,9/16/2022,Unacceptable water quality results (microbiological),50,(250) 546-2000,N/A
Logan Lake Community Water System,No Water Advisory,N/A,,2200,(250) 523-6225,http://www.loganlake.ca
Longbeach Water Users,Water Quality Advisory,4/11/2023,Excessive turbidity compromising treatment and water quality,120,(403) 835-0208,N/A
Lookout Road Water Users Community Water System,No Water Advisory,N/A,,42,(250) 377-0063,N/A
Lower Nicola Mobile Home Park Water System,No Water Advisory,N/A,,150,(604) 853-4887,N/A
Lower Nicola Waterworks Improvement District,No Water Advisory,N/A,,1100,(250) 378-2171,N/A
Lucas Ranch Water System,No Water Advisory,N/A,,10,(250) 375-2473,N/A
Lumby Recycling & Disposal Facility Water System,No Water Advisory,N/A,,4,(250) 547-6298,N/A
Lynn's Homestyle Catering Water System,No Water Advisory,N/A,,50,(250) 838-6364,N/A
Mabel Lake Farms Water System,No Water Advisory,N/A,,50,(250) 838-6248,N/A
Mabel Lake Hall Water System,No Water Advisory,N/A,,50,(250) 547-2045,N/A
Mabel Lake Provincial Park,Boil Water Notice,7/13/2022,Unacceptable water quality results (microbiological),489,(250) 547-6862,N/A
Mabel Lake Water Utility,Water Quality Advisory,6/22/2023,Excessive turbidity compromising treatment and water quality,1350,(250) 550-3700,N/A
MacKenzie Camp Water System,No Water Advisory,N/A,,50,(250) 503-8265,N/A
Mama Sita's Cafe  WS,No Water Advisory,N/A,,75,(250) 355-0072,N/A
Mamette Lake Estates,No Water Advisory,N/A,,30,(604) 846-8831,N/A
Maple Leaf Store Water System,No Water Advisory,N/A,,50,(250) 359-7996,N/A
Mara Community (Putula Park) Water System,Boil Water Notice,3/24/2023,Inadequate operations and maintenance,50,(250) 838-7599,N/A
Mara Community Hall,No Water Advisory,N/A,,50,(250) 838-7599,N/A
Mara Cottage & Mara Foodliner Water System,Boil Water Notice,6/7/2022,Untreated drinking water at risk of containing pathogens,0,(250) 307-8002,http://maracottagebb.com/
Mara Hills Golf Course Water System,No Water Advisory,N/A,,0,(250) 308-6532,https://www.hydemountain.com/
Mara Lake RV & Cabin Resort Water System,Boil Water Notice,8/11/2016,positive Total Coliform lab result,80,(780) 974-7828,N/A
Mara Provincial Park Water System,Boil Water Notice,6/28/2022,Unacceptable water quality results (microbiological),150,(250) 955-0861,N/A
Mara Sands WS,No Water Advisory,N/A,,70,(250) 836-3840,N/A
Mara View Estate Water System,Water Quality Advisory,5/20/2020,Unacceptable water quality results (microbiological),52,(250) 838-6294,N/A
Maydean Mobile Home Park Water System,No Water Advisory,N/A,,42,(604) 537-3933,N/A
McCulloch Lake Resort Water System,No Water Advisory,N/A,,40,(604) 916-7402,N/A
McDonald Creek Provincial Park,No Water Advisory,N/A,,219,(250) 837-5734,http://www.env.gov.bc.ca/bcparks/explore/
McFayden Creek Joint Works Agreement Water System,Boil Water Notice,9/14/2020,Unacceptable water quality results (microbiological),100,(250) 226-7324,N/A
Meadow Valley Meats,No Water Advisory,N/A,,27,(289) 981-8250,N/A
Meighan Creek Water Users Community,Boil Water Notice,1/1/1993,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens,45,(250) 546-6097,N/A
Mellor's Store Water System,No Water Advisory,N/A,,50,(250) 832-6888,N/A
Merritt Community Water System,No Water Advisory,N/A,,7113,(250) 378-4224,http://www.merritt.ca
Merritt Festival Site Water System,Boil Water Notice,10/15/2007,positive Total Coliform lab result,30000,(604) 308-8594,N/A
Mewata Girl Guide Camp Water System,No Water Advisory,N/A,,70,(250) 861-9565,N/A
Mike's Speciality Meats & Custom Cutting W/S,No Water Advisory,N/A,,50,(250) 838-6773,N/A
Mile High Estates at Face Lake,No Water Advisory,N/A,,90,(250) 523-9037,N/A
Mile High Lodge & Guest Ranch Water System,No Water Advisory,N/A,,24,(250) 377-1123,N/A
Miller's Sunshine Valley Estates Water System,No Water Advisory,N/A,,132,(250) 378-5266,N/A
Missezula Lake,Water Quality Advisory,6/6/2023,Excessive turbidity compromising treatment and water quality,500,(250) 490-4135,N/A
Mission Flats Landfill Scale Trailer Water Supply,No Water Advisory,N/A,,2,(250) 828-3374,N/A
Mithril Meadery,No Water Advisory,N/A,,1,(250) 301-7000,N/A
Moberly Road Water Society,No Water Advisory,N/A,,27,(250) 766-3204,N/A
Monashee Home Estates WS,Boil Water Notice,9/12/2022,Unacceptable water quality results (microbiological); Insufficient treatment or disinfection residual,60,(250) 547-6935,N/A
Monashee Powder Snowcats Tsuius Mountain,No Water Advisory,N/A,,30,(604) 629-9810,N/A
Monashee Powder Snowcats Tsuius Mountain Water System,No Water Advisory,N/A,,52,(250) 545-0661,N/A
Monashees Woodland Retreat Water System,Boil Water Notice,1/11/2010,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,25,(250) 503-7889,www.monasheeswoodlandretreat.com
Monck Provincial Park,No Water Advisory,N/A,,360,(250) 851-3000,N/A
Monte Creek Winery Production Facility WS,No Water Advisory,N/A,,10,(855) 633-9463,N/A
Monte Creek Winery WS,No Water Advisory,N/A,,50,(250) 573-5399,N/A
Monte Lake Resort,No Water Advisory,N/A,,80,(250) 375-2505,http://montelakeresort.com/
Monte Lake Store Water System,Boil Water Notice,11/10/2021,Unacceptable water quality results (microbiological),40,(250) 375-2304,N/A
Morley Spring Water Users,Boil Water Notice,3/4/1992,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; Inadequate operations and maintenance,50,(250) 777-2039,N/A
Mountain View Improvement District,No Water Advisory,N/A,,59,(250) 546-6032,N/A
Mountainside Mobile Home Park WS,Do Not Consume,6/13/2023,Chemical and physical water quality parameters in excess of acceptable concentrations,50,(250) 359-7178,N/A
Mt. Sentinel Farm Water System,Water Quality Advisory,2/13/2023,Unacceptable water quality results (microbiological),120,(250) 359-6847,N/A
Mt. Sentinel Secondary School WS (0211281),No Water Advisory,N/A,,250,(250) 354-4871,N/A
Munch More Foods Water System,No Water Advisory,N/A,,null,(250) 226-7779,N/A
Municipality of Summerland Public Works & Utilities,No Water Advisory,N/A,,11000,(250) 494-0431,http://www.summerland.ca/city-services/water
Municipality of Summerland Rodeo Grounds Water System,No Water Advisory,N/A,,501,(250) 494-0431,https://www.summerland.ca/city-services/water
Nakusp Hot Springs,No Water Advisory,N/A,,200,(250) 265-4528,https://www.nakusphotsprings.com/
Naramata Water System,No Water Advisory,N/A,,2000,(250) 492-0237,www.rdos.bc.ca
Nasookin Improvement District Water System,Water Quality Advisory,10/30/2018,Chemical and physical water quality parameters in excess of acceptable concentrations,120,(250) 825-0077,N/A
Nelson Area Waldorf School WS,No Water Advisory,N/A,,100,(250) 352-6919,N/A
New Gold Water System,Water Quality Advisory,5/17/2023,Excessive turbidity compromising treatment and water quality,400,(250) 377-2785,N/A
Nicola Lakeshore Estates Water System,No Water Advisory,N/A,,225,(250) 378-4176,N/A
Nicola Ranch,Boil Water Notice,1/8/2007,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens,70,(250) 378-5767,N/A
North Beach Heights Water Users Community Water System,Water Quality Advisory,8/19/2022,Unacceptable water quality results (microbiological),45,(250) 494-1989,N/A
North Naramata Fire Hall,No Water Advisory,N/A,,15,(250) 492-0237,N/A
North Okanagan Game Meats Water System,No Water Advisory,N/A,,50,(250) 838-7980,N/A
North Shore Fire Hall Water System,Boil Water Notice,6/30/2017,Unacceptable water quality results (microbiological),150,(250) 352-6665,www.rdck.ca
North Shore Water Utility,No Water Advisory,N/A,,505,(250) 509-2222,https://nswun.myruralwater.com/
Nymera Water Well,No Water Advisory,N/A,,40,(604) 783-1982,N/A
O'Keefe Ranch Water System,Boil Water Notice,7/27/2020,Unacceptable water quality results (microbiological),200,(250) 542-7868,https://okeeferanch.ca/
O'Rourke Family Vineyards Water System,No Water Advisory,N/A,,300,(250) 859-0219,N/A
Oasis Mobile Home Park Water System,No Water Advisory,N/A,,42,(250) 253-4205,N/A
Odd Fellows and  Rebekah Lodge Water System,No Water Advisory,N/A,,50,(250) 547-9011,N/A
Okanagan Lake Provincial Park Water System,Boil Water Notice,6/9/2017,Unacceptable water quality results (microbiological),420,(250) 260-3590,N/A
Okanagan Lake Source Water Supply System,No Water Advisory,N/A,,6000,(250) 766-5650,N/A
Okanagan Rawsome Water System,No Water Advisory,N/A,,50,(250) 828-2005,N/A
Okanagan Waldorf Water System,No Water Advisory,N/A,,172,(250) 547-9212,http://www.okanaganwaldorfschool.org/
Organic Matters Water System,No Water Advisory,N/A,,20,(250) 551-4884,N/A
Origen Springs Water System,No Water Advisory,N/A,,50,(250) 766-4322,N/A
Otter Lake Improvement District,No Water Advisory,N/A,,450,(250) 546-4012,N/A
Outback Water Treatment Plant,No Water Advisory,N/A,,550,(250) 550-3700,N/A
Overlander Ski Club,Water Quality Advisory,12/3/2021,Unacceptable water quality results (microbiological),50,(250) 372-5514,N/A
Ovino Winery Water System,No Water Advisory,N/A,,50,(250) 832-8304,N/A
Owaissi Anglican Camp Water System,Boil Water Notice,7/23/2015,Water treatment equipment failure,50,(250) 769-3676,N/A
Oyama Water System,Water Quality Advisory,5/13/2022,Insufficient treatment or disinfection residual; Chemical and physical water quality parameters in excess of acceptable concentrations,1256,(250) 766-5650,www.lakecountry.bc.ca/en/living-in-our-community/utilities.aspx
Panorama Ranch Strata Water System,No Water Advisory,N/A,,59,(250) 833-1106,N/A
Paradise Camp Water System,Boil Water Notice,3/10/2022,Unacceptable water quality results (microbiological),50,(250) 558-6087,N/A
Paradise Lake Co-op Water System,No Water Advisory,N/A,,87,(250) 315-9226,N/A
Paradise Ranch,No Water Advisory,N/A,,50,(250) 215-6900,N/A
Paradise Ridge Water Utility Society,Water Quality Advisory,9/24/2020,Chemical and physical water quality parameters in excess of acceptable concentrations,70,(250) 558-8080,N/A
Passmore Lodge,No Water Advisory,N/A,,60,(250) 226-7136,N/A
Passmore Park Developments,Boil Water Notice,7/20/2016,positive E. Coli lab result; positive Total Coliform lab result,100,(250) 355-2473,N/A
Paul Lake Provincial Park,Boil Water Notice,5/10/2019,Unacceptable water quality results (microbiological),180,(250) 371-6256,N/A
Paul Lake Recreation Area Water System,Boil Water Notice,7/21/2008,positive Total Coliform lab result,21,(250) 371-6272,N/A
Paul Lake Waterworks,No Water Advisory,N/A,,175,(250) 372-1231,N/A
Peace Valley Mobile Home Park Water System,No Water Advisory,N/A,,120,(250) 861-1149,N/A
Peachland Creek Water Supply System,No Water Advisory,N/A,,3092,(250) 767-2108,www.peachland.ca/turbidity-index
Peachland Municipal Water - Trepanier Creek,No Water Advisory,N/A,,2061,(250) 767-2108,www.peachland.ca/turbidity-index
Peachland Ponderosa Water System #2,No Water Advisory,N/A,,92,(250) 767-2108,www.peachland.ca/turbidity-index
Peachland RV Park Water Works,No Water Advisory,N/A,,170,(250) 215-0934,N/A
Pebble Beach Strata K717,No Water Advisory,N/A,,20,(403) 229-0963,N/A
Pennask Lake Fish & Game Club Water System,No Water Advisory,N/A,,30,(250) 378-7723,N/A
Peregrine Water System,Boil Water Notice,11/1/2000,Untreated drinking water at risk of containing pathogens,12,(250) 807-2857,N/A
Perriere Mobile Home Park,No Water Advisory,N/A,,60,(250) 355-2473,N/A
Peter Hope Lake Strata Plan KAS 2247 Water System,Water Quality Advisory,11/26/2019,Chemical and physical water quality parameters in excess of acceptable concentrations,84,(250) 574-6463,N/A
Petterson Road Water System,Boil Water Notice,6/27/2003,Untreated drinking water at risk of containing pathogens,20,(250) 769-5086,N/A
Pillar Lake Fishing Resort Water System,Boil Water Notice,5/17/2005,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens,150,(250) 379-2623,N/A
Pimainus Lake Resort Water System,Boil Water Notice,8/30/2006,Untreated drinking water at risk of containing pathogens,0,(250) 458-2224,N/A
Pinantan Elementary School,No Water Advisory,N/A,,200,(250) 573-3234,N/A
Pinantan Lake Resort Water System,Water Quality Advisory,9/29/2022,Unacceptable water quality results (microbiological),0,(250) 573-3534,N/A
Pinantan Lake Store Water System,No Water Advisory,N/A,,10,(250) 573-3303,N/A
Pine Point Water Utility,No Water Advisory,N/A,,30,(250) 769-8777,http://www.oksws.cin
Playmor Junction Improvement District,No Water Advisory,N/A,,100,(250) 359-7131,N/A
Playmor Utility Company Water System,No Water Advisory,N/A,,120,(250) 359-7079,N/A
Pleasant Valley Municipal S.W.U.,No Water Advisory,N/A,,95,(250) 546-3013,N/A
Plum Hollow Escape Water System,Boil Water Notice,7/21/2022,Inadequate operations and maintenance,200,(403) 382-7579,N/A
Ponderosa Pines R.V. Park Water System,Water Quality Advisory,4/1/2009,Chemical and physical water quality parameters in excess of acceptable concentrations,75,(250) 577-3468,N/A
Poplar Ridge Water Users Society,No Water Advisory,N/A,,100,(250) 359-7216,N/A
Postill Lake Water System,Boil Water Notice,10/1/2003,Untreated drinking water at risk of containing pathogens,100,(250) 212-0579,N/A
Powers Creek Water Service Area,No Water Advisory,N/A,,12429,(778) 797-2246,www.westkelownacity.ca
Pritchard Community Hall Water System,No Water Advisory,N/A,,100,(250) 577-3522,N/A
Pritchard Community Water System,Water Quality Advisory,5/5/2023,Excessive turbidity compromising treatment and water quality,402,(250) 377-8673,www.tnrd.ca/content/pritchard-water
Pritchard Waterworks District,No Water Advisory,N/A,,75,(250) 851-6731,N/A
Procter Creek Improvement District Water System,Boil Water Notice,1/1/1992,Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination; positive E. Coli lab result; positive Total Coliform lab result,120,(250) 229-4066,N/A
Procter Spring Water Users Community,Boil Water Notice,4/1/1992,Untreated drinking water at risk of containing pathogens; positive Total Coliform lab result; Source water quality deterioration or contamination,60,(250) 229-2228,N/A
Pura Fria Water Source,No Water Advisory,N/A,,null,(250) 355-2510,N/A
Purr Well,No Water Advisory,N/A,,7,(250) 838-7932,N/A
Quail Springs Water System,No Water Advisory,N/A,,50,(250) 545-5572,N/A
Quarrystone Lakeside Villas Water System,No Water Advisory,N/A,,40,(250) 836-4462,N/A
Queens Bay Resort,No Water Advisory,N/A,,120,(403) 616-9208,N/A
Quilchena Hotel WS,No Water Advisory,N/A,,90,(250) 378-2611,N/A
Quilchena On The Lake Water System,Water Quality Advisory,6/23/2022,Chemical and physical water quality parameters in excess of acceptable concentrations,200,(250) 378-4176,N/A
Ranchero Elementary School Water System,Boil Water Notice,6/22/2023,Unacceptable water quality results (microbiological),146,(250) 832-7018,https://ran.sd83.bc.ca/
Ranchero/Deep Creek Fire Department,No Water Advisory,N/A,,0,(250) 833-5941,N/A
Red Rose Sushi Water System,No Water Advisory,N/A,,null,(250) 308-6801,N/A
Red's Ventures Inc.,No Water Advisory,N/A,,66,(250) 765-4793,N/A
Redfish Elementary School WS (0211174),No Water Advisory,N/A,,150,(250) 551-5854,N/A
Rey Creek Ranch Well,No Water Advisory,N/A,,null,(250) 315-5246,N/A
Ridgemount Estates Water User's,No Water Advisory,N/A,,220,(250) 851-8434,N/A
Ridgewood Improvement District Water System,No Water Advisory,N/A,,150,(250) 551-1975,N/A
Rivershore Utilities,No Water Advisory,N/A,,755,(250) 573-4211,N/A
Riverside Community Hall Water System,No Water Advisory,N/A,,50,(250) 838-6338,N/A
Roche Lake Resort Water System,Boil Water Notice,8/3/2022,Inadequate operations and maintenance,41,(250) 828-2007,N/A
Rock Island Resort WS,Boil Water Notice,4/1/1992,Untreated drinking water at risk of containing pathogens; positive Total Coliform lab result; Source water quality deterioration or contamination,0,(250) 814-7088,N/A
Rocky Point Water Co-op,Do Not Consume,9/7/2019,Chemical and physical water quality parameters in excess of acceptable concentrations,28,(250) 319-2958,N/A
Roland's Custom Meat Cutting Water System,No Water Advisory,N/A,,50,(250) 838-2260,N/A
Rory Griffin Water System,Boil Water Notice,10/16/2013,Water treatment equipment failure,50,(250) 547-0129,N/A
Rose Valley Water Service Area - Lakeview,Water Quality Advisory,5/26/2023,Flushing/fire flow testing; Advisory limited to part of system ,12220,(778) 797-2246,www.westkelownacity.ca
Rose Valley Water Service Area - Pritchard ,Water Quality Advisory,5/26/2023,Excessive turbidity compromising treatment and water quality,370,(778) 797-2246,www.westkelownacity.ca
Rose Valley Water Service Area - Sunnyside/Pritchard,Water Quality Advisory,5/26/2023,Excessive turbidity compromising treatment and water quality,3916,(778) 797-2246,www.westkelownacity.ca
Rose Valley Water Service Area - West Kelowna Estates,Water Quality Advisory,5/10/2023,Excessive turbidity compromising treatment and water quality,3066,(778) 797-2246,www.westkelownacity.ca
Rosebery Highlands Water System,No Water Advisory,N/A,,50,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/rosebery-highlands.html
Rosebery Provincial Park,Boil Water Notice,7/14/2020,Distribution system integrity failure,99,(250) 837-5734,http://www.env.gov.bc.ca/bcparks/explore/
Rosling Spring Water Users,Boil Water Notice,1/1/1992,Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination; Inadequate operations and maintenance; positive Total Coliform lab result,50,(604) 813-7656,N/A
Round Prairie Municipal Specified Water Utility,No Water Advisory,N/A,,30,(250) 546-3013,N/A
Route 6 Campground and Bunkhouse Water System,Boil Water Notice,6/7/2007,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,65,(250) 547-0266,N/A
Route 97 Diner Water System,No Water Advisory,N/A,,50,(250) 375-2355,N/A
Royal Canadian Legion #236 Water System,No Water Advisory,N/A,,50,(250) 375-2325,N/A
Royal Canadian Legion Veterans Camp Water System,No Water Advisory,N/A,,65,(250) 838-7275,http://legion62.ca/veterans-camp/
Russell Auction,No Water Advisory,N/A,,200,(250) 399-4793,N/A
Rutland Waterworks District,No Water Advisory,N/A,,14000,(250) 765-5218,www.rutlandwaterworks.com
SX Ranch Water System,Boil Water Notice,4/8/2013,Untreated drinking water at risk of containing pathogens,15,(250) 378-5767,N/A
Sage Mesa Water & Public Services Water Co. Ltd.,Boil Water Notice,5/11/2023,Insufficient treatment or disinfection residual; Excessive turbidity compromising treatment and water quality,587,(250) 492-0237,www.rdos.bc.ca
Sagebrush Strata Corporation Water System,No Water Advisory,N/A,,123,(250) 378-9555,N/A
Sagewood Winery Water System,No Water Advisory,N/A,,50,(250) 573-1921,N/A
Sailview Bay Community Water System,No Water Advisory,N/A,,50,(250) 767-2884,N/A
Salmon Arm Water System,No Water Advisory,N/A,,14000,(250) 803-4016,http://www.salmonarm.ca/index.aspx?NID=139
Salmon Lake Resort Water System,No Water Advisory,N/A,,129,(250) 371-7206,N/A
Salmon Valley Seniors Branch 107 Hall Water System,No Water Advisory,N/A,,60,(250) 833-0123,N/A
Sandy Creek Water Users Community,Boil Water Notice,4/1/1992,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens; positive Total Coliform lab result; Source water quality deterioration or contamination,500,(250) 354-1935,N/A
Saranagati Village Holding Inc. Lot 17 Water System,Boil Water Notice,11/28/2007,Untreated drinking water at risk of containing pathogens,50,(250) 457-7186,N/A
Savanna Ridge,No Water Advisory,N/A,,50,(250) 809-1320,N/A
Savard Vines Water System,No Water Advisory,N/A,,50,(780) 446-8265,N/A
Savona Community Water System,Water Quality Advisory,6/12/2023,Excessive turbidity compromising treatment and water quality,675,(250) 377-8673,N/A
Seclusion Bay Resort Water System,Boil Water Notice,3/29/2023,Unacceptable water quality results (microbiological),150,(250) 826-5608,N/A
Sentinel Meats Water System,No Water Advisory,N/A,,50,(250) 399-6365,N/A
Seton House of Prayer Water System,No Water Advisory,N/A,,40,(250) 764-4333,N/A
Shadow Ridge Golf Club Water System,No Water Advisory,N/A,,144,(250) 765-7777,N/A
Shady Acre Mobile Park WS,No Water Advisory,N/A,,60,(778) 721-4668, 
Shandy Cove Resort Water System,No Water Advisory,N/A,,80,(403) 970-0114,N/A
Shannon Creek Water Users,No Water Advisory,N/A,,50,(250) 825-0188,N/A
Shannon Point Place Strata Corp.,No Water Advisory,N/A,,60,(250) 825-4063,N/A
Shelter Bay Ferry Crew Camp Water System,No Water Advisory,N/A,,12,(250) 265-2105,N/A
Shuswap Falls RV Club Water System,No Water Advisory,N/A,,333,(250) 838-6100,https://shuswapfallsrvresort.com/
Shuswap National Golf Course Water System,No Water Advisory,N/A,,200,(250) 832-3285,www.shuswapnational.com
Shuswap Water Co-Op,Boil Water Notice,10/2/2018,Unacceptable water quality results (microbiological); Untreated drinking water at risk of containing pathogens,20,(250) 573-2869,N/A
Silhouette Estate Winery Water System,No Water Advisory,N/A,,10,(780) 951-1961,N/A
Silver Creek Community Park Water System,No Water Advisory,N/A,,50,(250) 833-5959,N/A
Silver Creek Elementary School Water System,No Water Advisory,N/A,,100,(250) 832-8282,https://scr.sd83.bc.ca/
Silver Creek Mountain Estates Water System,No Water Advisory,N/A,,47,(250) 832-8754,N/A
Silver Creek Water Users,Boil Water Notice,1/1/1990,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens,52,(250) 832-4344,N/A
Silver Hills Water System,Boil Water Notice,8/26/2015,Unapproved water supply system or construction works; Untreated drinking water at risk of containing pathogens; Inadequate operations and maintenance,40,(250) 547-9456,https://www.silverhills.ca/
Silver Lake Forestry Education Center WS,No Water Advisory,N/A,,50,(250) 980-3870,N/A
Silver Star Local Service Area,No Water Advisory,N/A,,600,(250) 546-3013,N/A
Silver Star Water Utility,No Water Advisory,N/A,,9000,(250) 550-3700,http://www.rdno.ca/
Sitkum Creek Improvement District,Boil Water Notice,3/27/2018,Distribution system integrity failure,120,(778) 461-0042,N/A
Six Mile Water Users,Do Not Consume,6/1/2017,"Inadequate construction or protection of distribution, storage and other waterworks",150,(250) 825-4744,N/A
Sleep Is For Sissies Cafe & Bar Water System,No Water Advisory,N/A,,50,(250) 226-7663,N/A
Slocan Lake Golf Club Water System,No Water Advisory,N/A,,50,(250) 358-2408,N/A
Slocan Park Improvement District Water System,Water Quality Advisory,6/23/2023,Unacceptable water quality results (microbiological),200,(250) 226-6876,N/A
Snowwater Heli-Ski WS,No Water Advisory,N/A,,60,(250) 359-7665,N/A
Solara Vista Estates Mobile Home Park,No Water Advisory,N/A,,28,N/A,N/A
South Slocan Water Specified Area,No Water Advisory,N/A,,240,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/south-slocan-water-system.html
South Thompson Inn Water System,Boil Water Notice,7/27/2022,Unacceptable water quality results (microbiological),200,(250) 573-3777,N/A
Sovereign Lake Nordic Centre Water System,No Water Advisory,N/A,,700,(250) 558-3036,https://www.sovereignlake.com/
Spallumcheen Golf Club Water System,Water Quality Advisory,12/13/2021,Chemical and physical water quality parameters in excess of acceptable concentrations,120,(250) 545-5811,N/A
Spallumcheen Golf Course Maintenance Building,No Water Advisory,N/A,,60,(250) 545-5824,N/A
Sperling Vineyards Water System,No Water Advisory,N/A,,49,(778) 478-0260,N/A
St. Charles Garnier Catholic Church Water System,No Water Advisory,N/A,,650,(250) 860-6776,N/A
St. Hubertus Estate Winery Water System,Boil Water Notice,2/4/2021,Unacceptable water quality results (microbiological),50,(250) 764-7888,N/A
St. Peter's Water System,No Water Advisory,N/A,,0,(250) 374-2628,N/A
Star Place Water System,No Water Advisory,N/A,,24,(250) 469-6241,http://www.regionaldistrict.com/water
Stardel Local Service Area,No Water Advisory,N/A,,35,(250) 546-3013,N/A
Steele Springs Waterworks District,No Water Advisory,N/A,,180,(250) 546-3437,N/A
Stepney Improvement District,Boil Water Notice,6/6/1989,Untreated drinking water at risk of containing pathogens; positive E. Coli lab result,190,(250) 546-9973,www.stepneywater.com
Stepping Stones Estates S.W.U.,No Water Advisory,N/A,,390,(250) 546-3013,N/A
Stoney Lake Lodge Water,No Water Advisory,N/A,,12,(250) 378-7492,N/A
Storbo Road Water Users Society,Water Quality Advisory,6/9/2023,Unacceptable water quality results (microbiological),100,(250) 359-7944,N/A
Strata Corporation KAS4012 - WS,No Water Advisory,N/A,,90,(250) 572-7572,N/A
Stump Lake Ranch & Cattle Co.,No Water Advisory,N/A,,20,(250) 372-1215,http://www.stumplake.com/
Sugar Lake Resort Water System,No Water Advisory,N/A,,180,(250) 547-2281,https://www.sugarlakelife.ca/
Summit Lake Provincial Park Water System,No Water Advisory,N/A,,115,(250) 489-8540,http://www.env.gov.bc.ca/bcparks/explore/
Summit Lake Ski Lodge Water System,No Water Advisory,N/A,,50,(250) 265-3312,N/A
